CNES 0 Recursos Humanos 0 Profissionais 0 Indivíduos 0 segundo CBO 2002 0 Minas Gerais;;;;;
Quantidade por Ano/mês compet. e Esfera Administrativa;;;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;
Atende no SUS: Não;;;;;
Período:Ago/20070Jun/2021;;;;;
Ano/mês compet.;Estadual;Municipal;Privada;Esfera não informada;Total
2007/Ago;0;0;59;0;59
2007/Set;0;0;57;0;57
2007/Out;0;0;60;0;60
2007/Nov;0;0;61;0;61
2007/Dez;0;0;59;0;59
2008/Jan;1;0;57;0;58
2008/Fev;1;0;62;0;63
2008/Mar;1;0;61;0;62
2008/Abr;1;0;65;0;66
2008/Mai;0;0;65;0;65
2008/Jun;0;0;70;0;70
2008/Jul;0;0;70;0;70
2008/Ago;0;0;71;0;71
2008/Set;0;0;74;0;74
2008/Out;0;0;76;0;76
2008/Nov;0;0;78;0;78
2008/Dez;0;0;80;0;80
2009/Jan;0;0;81;0;81
2009/Fev;0;1;79;0;80
2009/Mar;0;1;79;0;80
2009/Abr;0;1;83;0;84
2009/Mai;0;1;83;0;84
2009/Jun;0;1;84;0;85
2009/Jul;0;1;84;0;85
2009/Ago;0;1;85;0;86
2009/Set;0;0;85;0;85
2009/Out;0;0;84;0;84
2009/Nov;0;0;85;0;85
2009/Dez;0;0;88;0;88
2010/Jan;0;0;89;0;89
2010/Fev;0;0;88;0;88
2010/Mar;0;0;90;0;90
2010/Abr;0;0;91;0;91
2010/Mai;0;0;91;0;91
2010/Jun;0;0;91;0;91
2010/Jul;0;0;93;0;93
2010/Ago;0;0;94;0;94
2010/Set;0;0;93;0;93
2010/Out;0;0;92;0;92
2010/Nov;0;0;92;0;92
2010/Dez;0;0;93;0;93
2011/Jan;0;0;94;0;94
2011/Fev;0;0;102;0;102
2011/Mar;0;0;106;0;106
2011/Abr;0;0;107;0;107
2011/Mai;0;0;108;0;108
2011/Jun;0;1;107;0;108
2011/Jul;0;1;109;0;110
2011/Ago;0;1;107;0;108
2011/Set;0;1;109;0;110
2011/Out;0;1;110;0;111
2011/Nov;0;1;111;0;112
2011/Dez;0;1;109;0;110
2012/Jan;0;1;109;0;110
2012/Fev;0;1;112;0;113
2012/Mar;0;1;114;0;115
2012/Abr;0;1;114;0;115
2012/Mai;0;1;104;0;105
2012/Jun;0;1;105;0;106
2012/Jul;0;1;106;0;107
2012/Ago;0;1;108;0;109
2012/Set;0;1;108;0;109
2012/Out;0;1;103;0;104
2012/Nov;0;1;105;0;106
2012/Dez;0;1;105;0;106
2013/Jan;0;1;105;0;106
2013/Fev;0;1;109;0;110
2013/Mar;0;1;111;0;112
2013/Abr;0;1;109;0;110
2013/Mai;0;1;110;0;111
2013/Jun;0;1;112;0;113
2013/Jul;0;1;114;0;115
2013/Ago;0;1;109;0;110
2013/Set;0;0;108;0;108
2013/Out;0;0;106;0;106
2013/Nov;0;0;107;0;107
2013/Dez;0;0;107;0;107
2014/Jan;0;0;108;0;108
2014/Fev;0;0;109;0;109
2014/Mar;0;0;113;0;113
2014/Abr;0;0;112;0;112
2014/Mai;0;0;112;0;112
2014/Jun;0;0;113;0;113
2014/Jul;0;0;115;0;115
2014/Ago;0;0;112;0;112
2014/Set;0;0;115;0;115
2014/Out;0;0;119;0;119
2014/Nov;0;0;120;0;120
2014/Dez;0;0;121;0;121
2015/Jan;0;0;123;0;123
2015/Fev;0;0;125;0;125
2015/Mar;0;0;134;0;134
2015/Abr;0;0;136;0;136
2015/Mai;0;0;140;0;140
2015/Jun;0;0;139;0;139
2015/Jul;0;0;140;0;140
2015/Ago;0;0;141;0;141
2015/Set;0;0;140;0;140
2015/Out;0;0;141;0;141
2015/Nov;0;0;0;144;144
2015/Dez;0;0;0;145;145
2016/Jan;0;0;0;147;147
2016/Fev;0;0;0;147;147
2016/Mar;0;0;0;146;146
2016/Abr;0;0;0;148;148
2016/Mai;0;0;0;153;153
2016/Jun;0;0;0;156;156
2016/Jul;0;0;0;156;156
2016/Ago;0;0;0;157;157
2016/Set;0;0;0;174;174
2016/Out;0;0;0;173;173
2016/Nov;0;0;0;171;171
2016/Dez;0;0;0;174;174
2017/Jan;0;0;0;172;172
2017/Fev;0;0;0;172;172
2017/Mar;0;0;0;173;173
2017/Abr;0;0;0;175;175
2017/Mai;0;0;0;175;175
2017/Jun;0;0;0;175;175
2017/Jul;0;0;0;179;179
2017/Ago;0;0;0;180;180
2017/Set;0;0;0;179;179
2017/Out;0;0;0;180;180
2017/Nov;0;0;0;178;178
2017/Dez;0;0;0;180;180
2018/Jan;0;0;0;179;179
2018/Fev;0;0;0;179;179
2018/Mar;0;0;0;177;177
2018/Abr;0;0;0;184;184
2018/Mai;0;0;0;185;185
2018/Jun;0;0;0;189;189
2018/Jul;0;0;0;202;202
2018/Ago;0;0;0;202;202
2018/Set;0;0;0;204;204
2018/Out;0;0;0;202;202
2018/Nov;0;0;0;203;203
2018/Dez;0;0;0;208;208
2019/Jan;0;0;0;211;211
2019/Fev;0;0;0;212;212
2019/Mar;0;0;0;213;213
2019/Abr;0;0;0;211;211
2019/Mai;0;0;0;214;214
2019/Jun;0;0;0;218;218
2019/Jul;0;0;0;217;217
2019/Ago;0;0;0;223;223
2019/Set;0;0;0;229;229
2019/Out;0;0;0;237;237
2019/Nov;0;0;0;244;244
2019/Dez;0;0;0;247;247
2020/Jan;0;0;0;247;247
2020/Fev;0;0;0;247;247
2020/Mar;0;0;0;253;253
2020/Abr;0;0;0;254;254
2020/Mai;0;0;0;254;254
2020/Jun;0;0;0;253;253
2020/Jul;0;0;0;256;256
2020/Ago;0;0;0;255;255
2020/Set;0;0;0;257;257
2020/Out;0;0;0;257;257
2020/Nov;0;0;0;262;262
2020/Dez;0;0;0;262;262
2021/Jan;0;0;0;275;275
2021/Fev;0;0;0;279;279
2021/Mar;0;0;0;285;285
2021/Abr;0;0;0;285;285
2021/Mai;0;0;0;285;285
2021/Jun;0;0;0;292;292
 ;;;;;
